ICRF Designation,IERS Des.,Inf.,RA,Dec,dRA,dDec,Corr.,Mean,First,Last,Nbs,Nbd,Nbr
ICRF,J140700.3+282714,1404+286,211.751643,28.454081,0.00000232,0.0000312,-0.0789,50392.9,44342.2,58148.7,2057,68032,0
ICRF,J140701.9+762813,1406+767,211.758263,76.470424,0.00003889,0.0001881,0.0214,57509.1,49827.5,57901.9,3,268,0
ICRF,J140729.7-270104,1404-267,211.874010,-27.017859,0.00001163,0.0003445,-0.0874,55775.7,50632.3,57920.8,4,218,0
ICRF,J140754.9-343128,1404-342,211.978821,-34.524518,0.00002090,0.0006767,-0.0722,57570.3,54489.7,58159.9,4,140,0
ICRF,J140812.9+561332,1406+564,212.053943,56.225690,0.00001197,0.0001250,-0.2735,55120.8,49577.0,57871.8,5,343,0
ICRF,J140819.0+685450,1407+691,212.079483,68.914119,0.00005755,0.0002605,-0.4251,56846.3,49827.5,57920.8,3,232,0
ICRF,J140848.8+650528,1407+653,212.203381,65.091122,0.00012861,0.0006307,0.4841,57952.7,57952.7,57952.7,1,51,0
ICRF,J140849.6-290023,1405-287,212.206724,-29.006558,0.00000777,0.0002518,0.0284,55547.9,50688.3,57920.8,3,233,0
ICRF,J140856.4-075226,1406-076,212.235338,-7.874074,0.00000224,0.0000328,0.0328,56341.5,47176.5,58205.8,309,7965,0
ICRF,J140911.9-231549,1406-230,212.299901,-23.263781,0.00002134,0.0006916,-0.1105,55481.1,50632.3,57944.2,4,176,0
ICRF,J140950.1-265736,1406-267,212.459041,-26.960272,0.00000319,0.0000512,0.1614,56303.8,50632.3,58205.8,294,3416,0
ICRF,J141004.6+020306,1407+022,212.519400,2.051920,0.00000484,0.0001587,-0.2439,56199.7,53134.5,57951.4,3,271,0
ICRF,J141019.6-190310,1407-188,212.582063,-19.052834,0.00001499,0.0003154,0.0524,57984.5,57610.7,58144.4,4,184,0
ICRF,J141035.0+073121,1408+077,212.646147,7.522636,0.00000936,0.0002913,-0.3033,56371.6,49914.7,57971.2,3,304,0
ICRF,J141107.8+003607,1408+008,212.782640,0.602008,0.00001539,0.0005823,-0.6068,57551.6,57012.1,57971.2,2,176,0
ICRF,J141114.5+370535,1409+373,212.810484,37.093229,0.00001049,0.0001424,-0.3975,56528.5,53573.0,57915.1,3,239,0
ICRF,J141134.6+742429,1411+746,212.894409,74.408257,0.00064611,0.0016707,-0.3840,57952.7,57952.7,57952.7,1,26,0
ICRF,J141154.8+213423,1409+218,212.978593,21.573177,0.00000510,0.0001256,-0.1187,54084.0,48863.2,58137.6,10,590,0
ICRF,J141236.3+133438,1410+138,213.151553,13.577265,0.00000696,0.0001816,-0.2309,54425.6,50085.5,57920.8,4,327,0
ICRF,J141414.8+455448,1412+461,213.561885,45.913537,0.00004111,0.0007407,0.1784,57108.1,50306.3,57978.6,4,117,0
ICRF,J141504.4-280954,1412-279,213.768692,-28.165120,0.00001070,0.0003769,-0.0251,56838.9,53573.0,57944.2,3,173,0
ICRF,J141509.9+083205,1412+087,213.791327,8.534825,0.00000890,0.0002661,-0.4308,57378.0,54112.8,58137.6,4,324,0
ICRF,J141520.8-095558,1412-097,213.836808,-9.932870,0.00000776,0.0002532,-0.0883,57211.3,53561.9,58159.9,4,281,0
ICRF,J141526.0-370526,1412-368,213.858401,-37.090825,0.00000923,0.0001777,-0.2147,54830.7,52306.7,58159.9,35,300,0
